caption,name,vendor,
SIMATIC S7-Web2PLC V1.0 + SP3 Professional 2021,SIMATIC S7-Web2PLC V1.0 + SP3 Professional 2021,Siemens AG,
SIMATIC S7 FM352-5 V1.2 + SP4,SIMATIC S7 FM352-5 V1.2 + SP4,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage  V15.1 UPD3,Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage  V15.1 UPD3,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - TIACOMPCHECK Single SetupPackage  V15.1 + Upd3,Siemens Totally Integrated Automation Portal V15.1 - TIACOMPCHECK Single SetupPackage  V15.1 + Upd3,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - STEP 7 Single SetupPackage  V15.1 UPD3,Siemens Totally Integrated Automation Portal V15.1 - STEP 7 Single SetupPackage  V15.1 UPD3,Siemens AG,
Siemens Totally Integrated Automation Portal V16 - WinCC Transfer Current CAP Single SetupPackage  V16.0 UPD4,Siemens Totally Integrated Automation Portal V16 - WinCC Transfer Current CAP Single SetupPackage  V16.0 UPD4,Siemens AG,
SIMATIC S7-GRAPH V5.6 + SP2 Professional 2017 SR2,SIMATIC S7-GRAPH V5.6 + SP2 Professional 2017 SR2,Siemens AG,
SIMATIC S7-SCL V5.6 + HF1 Professional 2017 SR2,SIMATIC S7-SCL V5.6 + HF1 Professional 2017 SR2,Siemens AG,
SIMATIC S7 Distributed Safety Prog. V5.4 + SP5  ,SIMATIC S7 Distributed Safety Prog. V5.4 + SP5  ,Siemens AG,
SIMATIC S7 Distributed Safety Prog. V5.4 SP5    ,SIMATIC S7 Distributed Safety Prog. V5.4 SP5    ,Siemens AG,
SIMATIC S7-Block Privacy V1.0 + SP4 Professional 2017 SR2,SIMATIC S7-Block Privacy V1.0 + SP4 Professional 2017 SR2,Siemens AG,
CodeMeter Runtime Kit v6.40b,CodeMeter Runtime Kit v6.40b,WIBU-SYSTEMS AG,
WTFast 4.0,WTFast 4.0,Initex & AAA Internet Publishing,
Pegasus CAD-CAM 2021 R1,Pegasus CAD-CAM 2021 R1,Tecno Program srl,
Malwarebytes version 4.1.0.56,Malwarebytes version 4.1.0.56,Malwarebytes,
SINUMERIK Add-on for STEP 7,SINUMERIK Add-on for STEP 7,Siemens AG,
Controlador Common de CX-Server,Controlador Common de CX-Server,Nombre de su organización,
DTM library 2.42.00,DTM library 2.42.00,Endress+Hauser Process Solutions AG,
MCFastIO,MCFastIO,Siemens AG,
SCOUT STARTER Components,SCOUT STARTER Components,Siemens AG,
Siemens SIMATIC WinCC Documentation Viewer  V14.0,Siemens SIMATIC WinCC Documentation Viewer  V14.0,Siemens AG,
EBpro V5.01.04,EBpro V5.01.04,"Weintek Labs., Inc.",
SIMATIC WinCC Runtime Professional V13.0 SP1,SIMATIC WinCC Runtime Professional V13.0 SP1,Siemens AG,
BeyondTrust Endpoint Credential Manager,BeyondTrust Endpoint Credential Manager,BeyondTrust Corporation,
Axence NetTools 3.0,Axence NetTools 3.0,"Axence Software, Inc.",
VDSetup 4.0,VDSetup 4.0,INFRANOR,
Aspen MES Cluster Administrator,Aspen MES Cluster Administrator,AspenTech,
SLM Server,SLM Server,AspenTech,
Aspen Process Graphic Studio,Aspen Process Graphic Studio,AspenTech,
Valmet DNA Historian evtQueueControl,Valmet DNA Historian evtQueueControl,Valmet Corporation,
Aspen Audit and Compliance Manager,Aspen Audit and Compliance Manager,AspenTech,
Sentinel RMS License Manager 9.6.2,Sentinel RMS License Manager 9.6.2,"SafeNet, Inc.",
SIMATIC WinCC Configuration V7.5 + SP2 + Upd10,SIMATIC WinCC Configuration V7.5 + SP2 + Upd10,Siemens AG,
SIMATIC WinCC Runtime V7.5 + SP2 + Upd10,SIMATIC WinCC Runtime V7.5 + SP2 + Upd10,Siemens AG,
Siemens Totally Integrated Automation Portal V17 - Multiuser Client Single SetupPackage  V17.0 UPD5,Siemens Totally Integrated Automation Portal V17 - Multiuser Client Single SetupPackage  V17.0 UPD5,Siemens AG,
User Management Component -  UserManagementComponentx64  V2.9 SP3 Upd2,User Management Component -  UserManagementComponentx64  V2.9 SP3 Upd2,Siemens AG,
TIA Administrator - AWB Software Management  V1.0 + SP8,TIA Administrator - AWB Software Management  V1.0 + SP8,Siemens AG,
User Management Component - umtrayiconx64  V2.9 + SP3 + Upd2,User Management Component - umtrayiconx64  V2.9 + SP3 + Upd2,Siemens AG,
SIMATIC ProSave V17.0 Upd1,SIMATIC ProSave V17.0 Upd1,Siemens AG,
Secure Service Certificates,Secure Service Certificates,Diebold Nixdorf,
Mayfair Drivers for PL2303 Devices (PL2303),Mayfair Drivers for PL2303 Devices (PL2303),Diebold Nixdorf,
FactoryTalk Diagnostics 2.81.00 (CPR 9 SR 8.1),FactoryTalk Diagnostics 2.81.00 (CPR 9 SR 8.1),"Rockwell Automation, Inc.",
QCam64,QCam64,QImaging,
Contour Shuttle,Contour Shuttle,Contour Design,
C3Driver version 2.16.1-1,C3Driver version 2.16.1-1,Ingenico,
Hamilton ASW Global,Hamilton ASW Global,Hamilton Bonaduz AG,
Microlab STAR Service,Microlab STAR Service,,
XMState for CashManagement Ver. 3.00.10,XMState for CashManagement Ver. 3.00.10,NCR,
FastLane CoreApp 4.4,FastLane CoreApp 4.4,,
FastLane Platform 4.4,FastLane Platform 4.4,,
CrystalReports9,CrystalReports9,NCR,
Fujitsu Software ServerView RAID Manager,Fujitsu Software ServerView RAID Manager,Fujitsu Technology Solutions,
VIA Gestionnaire de périphériques de plate-forme,VIA Gestionnaire de périphériques de plate-forme,"VIA Technologies, Inc.",
Commvault ContentStore,Commvault ContentStore,Commvault,
7-Zip 18.01,7-Zip 18.01,Igor Pavlov,
doPDF,doPDF,Softland,
novaPDF 8 SDK COM (x64),novaPDF 8 SDK COM (x64),Softland,
novaPDF 8 SDK COM (x86),novaPDF 8 SDK COM (x86),Softland,
Dell Foundation Services,Dell Foundation Services,Dell Inc.,
NI DAQ Assistant 1.14.0,NI DAQ Assistant 1.14.0,National Instruments,
NI-DAQmx Switch Core 2.1.0,NI-DAQmx Switch Core 2.1.0,National Instruments,
NI-DAQmx/LabVIEW shared documentation 1.8.0,NI-DAQmx/LabVIEW shared documentation 1.8.0,National Instruments,
NI FSL Installer 1.11.0,NI FSL Installer 1.11.0,National Instruments,
NI-VISA Runtime 5.0.0,NI-VISA Runtime 5.0.0,National Instruments,
HydraVision,HydraVision,"Advanced Micro Devices, Inc.",
Belarc Advisor 8.1,Belarc Advisor 8.1,,
Dell Touchpad,Dell Touchpad,"ALPS ELECTRIC CO., LTD.",
FileZilla Client 3.5.3,FileZilla Client 3.5.3,FileZilla Project,
LibreOffice 5.3 Help Pack (Italian),LibreOffice 5.3 Help Pack (Italian),The Document Foundation,
Ping,Ping,Servelec Technologies,
MosChip PCI Multi-IO Controller,MosChip PCI Multi-IO Controller,,
EditiX-Free-XML Editor2010 Free-2010,EditiX-Free-XML Editor2010 Free-2010,JAPISoft,
TBox MS32 & LT2 TEXT_Addon,TBox MS32 & LT2 TEXT_Addon,,
TBox MS32 DNP3_Master_Addon,TBox MS32 DNP3_Master_Addon,,
TBox MS32 DNP3_Slave_Addon,TBox MS32 DNP3_Slave_Addon,,
TBox MS32 IEEE802-1X_Addon,TBox MS32 IEEE802-1X_Addon,,
TBox MS32 PassThrough_Addon,TBox MS32 PassThrough_Addon,,
TBox MS32 TcpCustom_Addon,TBox MS32 TcpCustom_Addon,,
TView client 3.1.0.479,TView client 3.1.0.479,Techno Trade,
PDF24 Creator 7.4.0,PDF24 Creator 7.4.0,PDF24.org,
Catalyst Control Center Graphics Previews Vista,Catalyst Control Center Graphics Previews Vista,ATI,
Stinger,Stinger,NCR Corporation India Pvt Ltd,
UsbCameraSystem,UsbCameraSystem,NCR APTRA,
UsbOMSFingerPrintReader,UsbOMSFingerPrintReader,NCR APTRA,
USBSingleNoteAcceptor,USBSingleNoteAcceptor,NCR,
SPSDACT,SPSDACT,NCR APTRA,
USBEnvelopeDepository,USBEnvelopeDepository,NCR Corporation,
USBBNA,USBBNA,NCR,
USBStmt,USBStmt,NCR Corporation,
PcGBRU,PcGBRU,NCR,
Resource Manager,Resource Manager,NCR,
XFS PTR Service Provider,XFS PTR Service Provider,NCR,
Service State Logger,Service State Logger,NCR,
PcUnintPowerSupply,PcUnintPowerSupply,NCR,
Activate Core Service,Activate Core Service,NCR Corporation,
USBMagPassCardReader,USBMagPassCardReader,NCR APTRA,
XFS CDM Service Provider,XFS CDM Service Provider,NCR,
USB Loader Service,USB Loader Service,NCR,
Wincor Nixdorf J/Install V6.5/01 (Build 002327),Wincor Nixdorf J/Install V6.5/01 (Build 002327),Wincor Nixdorf International GmbH,
Trellix Agent,Trellix Agent,Trellix,
OnePanaMachine version 6.6.20221028,OnePanaMachine version 6.6.20221028,MicroFeeling,
NI-IMAQ Camera Files 4.9.0,NI-IMAQ Camera Files 4.9.0,National Instruments,
NI-BROADCOM57XX for Phar Lap ETS,NI-BROADCOM57XX for Phar Lap ETS,National Instruments,
用于主机通信的NI LabVIEW 2012 SP1 FPGA支持,用于主机通信的NI LabVIEW 2012 SP1 FPGA支持,National Instruments,
NI System Web Server 13.5,NI System Web Server 13.5,National Instruments,
NI-DAQ INF Files 19.8.0,NI-DAQ INF Files 19.8.0,National Instruments,
NI FlexRIO Mite 13.1 for LabVIEW Real-Time,NI FlexRIO Mite 13.1 for LabVIEW Real-Time,National Instruments,
NI LabVIEW 2013 SP1 Real-Time MSVS90 Support,NI LabVIEW 2013 SP1 Real-Time MSVS90 Support,National Instruments,
NI-RIO MAX Provider 13.1,NI-RIO MAX Provider 13.1,National Instruments,
NI-RIO Chinch 13.1,NI-RIO Chinch 13.1,National Instruments,
NI-DAQmx MX Expert Framework 2.15.0,NI-DAQmx MX Expert Framework 2.15.0,National Instruments,
NI LabVIEW 2013 VI Analyzer Toolkit License,NI LabVIEW 2013 VI Analyzer Toolkit License,National Instruments,
NI Authentication 13.5.0 (64-bit),NI Authentication 13.5.0 (64-bit),National Instruments,
NI LabVIEW 2010 SP1 FPGA Support for Host Communication,NI LabVIEW 2010 SP1 FPGA Support for Host Communication,National Instruments,
NI Vision 2013 SP1 64-bit,NI Vision 2013 SP1 64-bit,National Instruments,
NI LabVIEW 2010 SP1 FPGA Elemental IO Common,NI LabVIEW 2010 SP1 FPGA Elemental IO Common,National Instruments,
NI LabVIEW 2012 SP1 FPGA Elemental IO Common (64-bit),NI LabVIEW 2012 SP1 FPGA Elemental IO Common (64-bit),National Instruments,
NI LabVIEW 2013 SP1 Real-Time VxWorks Base,NI LabVIEW 2013 SP1 Real-Time VxWorks Base,National Instruments,
NI LabVIEW 2011 Real-Time LV Support for Smart Cameras Arch2,NI LabVIEW 2011 Real-Time LV Support for Smart Cameras Arch2,National Instruments,
NI-APAL 2.3.2 Error Files,NI-APAL 2.3.2 Error Files,National Instruments,
NI LabVIEW 2011 SP1 FPGA Support for Host Communication,NI LabVIEW 2011 SP1 FPGA Support for Host Communication,National Instruments,
NI Vision Run-Time Engine 2013 SP1,NI Vision Run-Time Engine 2013 SP1,National Instruments,
NI Web Application Server 13.5,NI Web Application Server 13.5,National Instruments,
NI LabVIEW 2013 Real-Time VxWorks Base,NI LabVIEW 2013 Real-Time VxWorks Base,National Instruments,
NI LabVIEW 2013 FPGA Support for Host Analysis (64-bit),NI LabVIEW 2013 FPGA Support for Host Analysis (64-bit),National Instruments,
NI FlexRIO Mite 13.1 (64-bit),NI FlexRIO Mite 13.1 (64-bit),National Instruments,
NI USB3 Vision 1.2.1,NI USB3 Vision 1.2.1,National Instruments,
OpenSSL 1.0.0k (32-bit),OpenSSL 1.0.0k (32-bit),OpenSSL Win32 Installer Team,
FBWFTool version 1.0.0.17,FBWFTool version 1.0.0.17,Conrac GmbH,
ConVis_Run_Check version 1.0,ConVis_Run_Check version 1.0,Data Modul AG,
eturboTouchKit,eturboTouchKit,,
HubController,HubController,Ing. Punzenberger COPA-DATA GmbH,
Customer Display Utility version 1.0.2,Customer Display Utility version 1.0.2,"BIXOLON Co., Ltd.",
BCD Virtual COM Driver V1.0.2,BCD Virtual COM Driver V1.0.2,"BIXOLON CO., Ltd.",
ILITek iUniTouch Tool 1.2.3.0,ILITek iUniTouch Tool 1.2.3.0,ILITek Corporation,
PI Software Development Kit (PI SDK) x64,PI Software Development Kit (PI SDK) x64,"OSIsoft, LLC",
RSLinx Classic 3.70.00 CPR 9 SR 7,RSLinx Classic 3.70.00 CPR 9 SR 7,"Rockwell Automation, Inc.",
PI Software Development Kit 1.4.2.445 for ViewSE Suite,PI Software Development Kit 1.4.2.445 for ViewSE Suite,"Rockwell Automation, Inc.",
Studio 5000 Logix Designer v31.01.00 (CPR 9 SR 10),Studio 5000 Logix Designer v31.01.00 (CPR 9 SR 10),"Rockwell Automation, Inc.",
Studio 5000 Logix Designer v32.02.00 (CPR 9 SR 11),Studio 5000 Logix Designer v32.02.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
C-more Programming Software Ver6.72_2 (C:\Program Files (x86)\AutomationDirect\C-more_EA9_V6_2),C-more Programming Software Ver6.72_2 (C:\Program Files (x86)\AutomationDirect\C-more_EA9_V6_2),AutomationDirect.com,
BDE (Borland Database Engine),BDE (Borland Database Engine),dBASE Inc,
VNC Viewer 5.3.2,VNC Viewer 5.3.2,RealVNC Ltd,
VNC Server 5.3.2,VNC Server 5.3.2,RealVNC Ltd,
PowerRecover,PowerRecover,CyberLink Corp.,
ABB Software,ABB Software,ABB,
Lotus Notes 8.5.2 (Basic),Lotus Notes 8.5.2 (Basic),IBM,
Hewlett-Packard ACLM.NET v1.1.1.0,Hewlett-Packard ACLM.NET v1.1.1.0,Hewlett-Packard,
Eraser 6.2.0.2986,Eraser 6.2.0.2986,The Eraser Project,
RSLogix 5000 v20.04.00 (CPR 9 SR 5),RSLogix 5000 v20.04.00 (CPR 9 SR 5),"Rockwell Automation, Inc.",
DriveExecutive V4.01,DriveExecutive V4.01,Rockwell Automation,
FLIR Device Drivers,FLIR Device Drivers,FLIR Systems,
RSLinx Enterprise 5.30.00000 (CPR 9 SR 3),RSLinx Enterprise 5.30.00000 (CPR 9 SR 3),"Rockwell Automation, Inc.",
RSNetWorx for DeviceNet 10.01.00 (CPR 9 SR 3),RSNetWorx for DeviceNet 10.01.00 (CPR 9 SR 3),"Rockwell Automation, Inc.",
HP Color LaserJet CP3525 Screen Fonts,HP Color LaserJet CP3525 Screen Fonts,"Hewlett Packard, Co.",
HP Color LaserJet CP3525 User Guide,HP Color LaserJet CP3525 User Guide,"Hewlett Packard, Co.",
RSLogix Emulate 5000 20.01.00 (CPR 9 SR 5),RSLogix Emulate 5000 20.01.00 (CPR 9 SR 5),"Rockwell Automation, Inc.",
HMS IPconfig 4.2.0.0,HMS IPconfig 4.2.0.0,HMS Industrial Networks,
PM500 Ethernet Firmware Update Tool 1.0.3 version 1.0.3,PM500 Ethernet Firmware Update Tool 1.0.3 version 1.0.3,Rockwell,
ScriptMerge 2020,ScriptMerge 2020,"SAPIEN Technologies, Inc.",
7-Zip 17.01 (x64 edition),7-Zip 17.01 (x64 edition),Igor Pavlov,
USBPcap 1.2.0.3,USBPcap 1.2.0.3,Tomasz Mon,
Trend Micro OfficeScan Client,Trend Micro OfficeScan Client,Trend Micro,
NI-IMAQ 14.0,NI-IMAQ 14.0,National Instruments,
NI Vision Run-Time Engine 2014,NI Vision Run-Time Engine 2014,National Instruments,
NI LabVIEW 2014 Real-Time for Industrial Controllers,NI LabVIEW 2014 Real-Time for Industrial Controllers,National Instruments,
NI MXS 14.0.0f0 for LabVIEW Real-Time,NI MXS 14.0.0f0 for LabVIEW Real-Time,National Instruments,
NI-ORB 3.1 for LabVIEW Real-Time,NI-ORB 3.1 for LabVIEW Real-Time,National Instruments,
NI USB3 Vision 14.0.0,NI USB3 Vision 14.0.0,National Instruments,
NI-IMAQdx 14.0.0 32-bit Driver Support,NI-IMAQdx 14.0.0 32-bit Driver Support,National Instruments,
NI LabVIEW 2014 Real-Time Pharlap Base,NI LabVIEW 2014 Real-Time Pharlap Base,National Instruments,
NI System API RT 14.0.1,NI System API RT 14.0.1,National Instruments,
一键GHOST v2019.08.12,一键GHOST v2019.08.12,DOS之家,
GigECam Driver and Tools version 3.6.0.4481 (32-bit),GigECam Driver and Tools version 3.6.0.4481 (32-bit),The Imaging Source Europe GmbH,
NI LabVIEW 2014 Real-Time MSVS90 Support,NI LabVIEW 2014 Real-Time MSVS90 Support,National Instruments,
NI LabVIEW 2014 Real-Time FTP Server,NI LabVIEW 2014 Real-Time FTP Server,National Instruments,
NI LabVIEW 2012 SP1 FPGA Support for Host Analysis,NI LabVIEW 2012 SP1 FPGA Support for Host Analysis,National Instruments,
NI HTTP Client 2014 Real-Time Support,NI HTTP Client 2014 Real-Time Support,National Instruments,
NI Service Locator Real-Time 2014 Support,NI Service Locator Real-Time 2014 Support,National Instruments,
NI LabVIEW 2014 Real-Time LinuxU Base,NI LabVIEW 2014 Real-Time LinuxU Base,National Instruments,
NI PXI Platform Services 3.2.3 for LabVIEW Real-Time,NI PXI Platform Services 3.2.3 for LabVIEW Real-Time,National Instruments,
NI Sound and Vibration Run-Time Engine for VxWorks,NI Sound and Vibration Run-Time Engine for VxWorks,National Instruments,
NI-IMAQ 4.7.3,NI-IMAQ 4.7.3,National Instruments,
NI Sound and Vibration 2013 64-bit,NI Sound and Vibration 2013 64-bit,National Instruments,
NI SignalExpress 2013,NI SignalExpress 2013,National Instruments,
NI USB3 Vision 1.1.0 64-bit Support,NI USB3 Vision 1.1.0 64-bit Support,National Instruments,
NI Sound and Vibration Toolkit 2013 64-bit,NI Sound and Vibration Toolkit 2013 64-bit,National Instruments,
360压缩,360压缩,360安全中心,
NI Vision Run-Time Engine 2013,NI Vision Run-Time Engine 2013,National Instruments,
SmartLaserInstall_New,SmartLaserInstall_New,SmartLaser,
PGR FlyCapture 1.8 Beta 03,PGR FlyCapture 1.8 Beta 03,"Point Grey Research, Inc.",
GIE64+ SmartPoE,GIE64+ SmartPoE,ADLINK,
Cognex x64 Drivers 4.7,Cognex x64 Drivers 4.7,Cognex Corporation,
Teledyne DALSA X64 Xcelera-CL PX4 Device Driver 1.40.01.0604,Teledyne DALSA X64 Xcelera-CL PX4 Device Driver 1.40.01.0604,Teledyne DALSA,
Foxit Reader,Foxit Reader,Foxit Software Company,
NI LabVIEW 2019 Help File,NI LabVIEW 2019 Help File,National Instruments,
NI USI AOP5 DataPlugin 64-bit 18.5.0,NI USI AOP5 DataPlugin 64-bit 18.5.0,National Instruments,
NI LabVIEW 2019 (64-bit) Search,NI LabVIEW 2019 (64-bit) Search,National Instruments,
NI TDMS 19.0（64位）,NI TDMS 19.0（64位）,National Instruments,
NI Web应用程序服务器 2019（64位）,NI Web应用程序服务器 2019（64位）,National Instruments,
VI Package Manager 2019,VI Package Manager 2019,National Instruments,
NI LabVIEW 2019 (64-bit) Scripting Code Generator,NI LabVIEW 2019 (64-bit) Scripting Code Generator,National Instruments,
NI Variable Engine LabVIEW 2019 Support,NI Variable Engine LabVIEW 2019 Support,National Instruments,
NI LabVIEW 2019 Database Connectivity Toolkit,NI LabVIEW 2019 Database Connectivity Toolkit,National Instruments,
NI LabVIEW 2016 Compare Utility,NI LabVIEW 2016 Compare Utility,National Instruments,
搜狗五笔输入法 5.3正式版,搜狗五笔输入法 5.3正式版,Sogou.com,
Euresys Memento 4.7.2.17,Euresys Memento 4.7.2.17,EURESYS,
SYBA EUART Driver 1.0,SYBA EUART Driver 1.0,"SYBA, Inc.",
7-Zip 15.06 beta (x64),7-Zip 15.06 beta (x64),Igor Pavlov,
Open eVision 2.3.3,Open eVision 2.3.3,Euresys,
搜狗拼音输入法 智慧版3.0,搜狗拼音输入法 智慧版3.0,Sogou.com,
REALTEK Bluetooth Driver,REALTEK Bluetooth Driver,REALTEK Semiconductor Corp.,
Yahoo Search Set,Yahoo Search Set,Yahoo Inc.,
SIMATIC WinCC flexible 2008 SP2 ,SIMATIC WinCC flexible 2008 SP2 ,Siemens AG,
CoreAVC Professional Edition (remove only),CoreAVC Professional Edition (remove only),,
Eaton UPS Companion v1.02,Eaton UPS Companion v1.02,Eaton,
Symantec Data Center Security Server Agent,Symantec Data Center Security Server Agent, Symantec,
ManageEngine ServiceDesk Plus - MSP,ManageEngine ServiceDesk Plus - MSP,ZOHO Corp,
NI-DAQmx MAX Support 64-bit 2.0.0,NI-DAQmx MAX Support 64-bit 2.0.0,National Instruments,
NI Authentication 1.0 (64-bit),NI Authentication 1.0 (64-bit),National Instruments,
NI Xerces Delay Load 2.7.2 64-bit,NI Xerces Delay Load 2.7.2 64-bit,National Instruments,
NI Logos64 5.2.0,NI Logos64 5.2.0,National Instruments,
Tecan User Management Server V1.1,Tecan User Management Server V1.1,Tecan,
DWG TrueView 2012,DWG TrueView 2012,Autodesk,
Autodesk Design Review 2009,Autodesk Design Review 2009,"Autodesk, Inc.",
AutoPLOT Client,AutoPLOT Client,,
Advantech ADAMView,Advantech ADAMView,,
ViewMate 9.8,ViewMate 9.8,PentaLogix,
Max Loader 4.6x,Max Loader 4.6x,"EETools, Inc.",
C2000 Code Composer Studio v3.1 Platinum Edition,C2000 Code Composer Studio v3.1 Platinum Edition,"Texas Instruments, Inc.",
Print Screen Deluxe 3.0a,Print Screen Deluxe 3.0a,,
PDF Complete,PDF Complete,,
UaExpert 1.6.3,UaExpert 1.6.3,UnifiedAutomation,
System Monitor Manager 1.3,System Monitor Manager 1.3,"AVEVA Software, LLC",
ChateauXP,ChateauXP,Chateau Technical Corp.,
Agilent IO Libraries Suite 16.3 Update 1,Agilent IO Libraries Suite 16.3 Update 1,Agilent Technologies,
T4000S Test Systems Factory Calibration,T4000S Test Systems Factory Calibration,Keysight Technologies,
Keysight Test Cases API Runtime,Keysight Test Cases API Runtime,Keysight,
AgilentRfSigGen IVI Driver 1.4.10,AgilentRfSigGen IVI Driver 1.4.10,Agilent Technologies,
Win2PDF 7,Win2PDF 7,"Dane Prairie Systems, LLC.",
FLM_6691,FLM_6691,NCR,
FLM_6626,FLM_6626,NCR,
FLM_6637,FLM_6637,NCR,
UsbSWipeCardReader,UsbSWipeCardReader,NCR Corporation,
FLM_6642,FLM_6642,NCR,
CCM PCCM,CCM PCCM,NCR,
XB Chat,XB Chat,Xalq Banki,
IBM Data Server Client - DB2V97_DSCLIENT32_01,IBM Data Server Client - DB2V97_DSCLIENT32_01,IBM,
McAfee VirusScan Enterprise,McAfee VirusScan Enterprise,"McAfee, Inc.",
FrontRange ITSM Server,FrontRange ITSM Server,FrontRange Solutions USA Inc.,
HMI Embedded Network Manager,HMI Embedded Network Manager,,
AdvGPIO,AdvGPIO,Advantech,
AdvECHWMonitor,AdvECHWMonitor,Advantech,
Deinstallationsprogramm für den Canon Druckertreiber Generic Plus PCL6,Deinstallationsprogramm für den Canon Druckertreiber Generic Plus PCL6,Canon Inc.,
Tibbo Device Server Toolkit (remove only),Tibbo Device Server Toolkit (remove only),,
GX IEC Developer 7.01,GX IEC Developer 7.01,,
License Management Tool,License Management Tool,Beijer Electronics AB,
acirro+ iX Extension for iX Developer 2.40 SP4,acirro+ iX Extension for iX Developer 2.40 SP4,Beijer Electronics AB,
iX Developer 2.40 SP6 ,iX Developer 2.40 SP6 ,Beijer Electronics AB,
AutoCAD Mechanical 2023,AutoCAD Mechanical 2023,Autodesk,
Autodesk Inventor Professional 2023,Autodesk Inventor Professional 2023,Autodesk,
3Dconnexion Plug-In for Creo 2.0 - 9.0,3Dconnexion Plug-In for Creo 2.0 - 9.0,3Dconnexion,
3Dconnexion 3DxSoftware,3Dconnexion 3DxSoftware,3Dconnexion,
3Dconnexion Add-In for Navisworks,3Dconnexion Add-In for Navisworks,3Dconnexion,
Pulse Secure 5.3,Pulse Secure 5.3,"Pulse Secure, LLC",
AOMEI Partition Assistant 9.1,AOMEI Partition Assistant 9.1,AOMEI International Network Limited.,
FARO LS 1.1.901.0 (64bit),FARO LS 1.1.901.0 (64bit),"FARO Technologies, Inc.",
SIMATIC IT PRM CLIENT V6.3 + SP2  ,SIMATIC IT PRM CLIENT V6.3 + SP2  ,Siemens AG,
Simatic WinCC flexible,Simatic WinCC flexible,Siemens AG,
AuthControl Desktop 5.7.17.1,AuthControl Desktop 5.7.17.1,Swivel Secure,
ALPS Touch Pad Driver,ALPS Touch Pad Driver,"ALPS ELECTRIC CO., LTD.",
SolidSafeModeSetup,SolidSafeModeSetup,NCR,
FLM_6674,FLM_6674,NCR,
MiShareApp 8.1.9,MiShareApp 8.1.9,Mitel Networks Corporation,
DriverSetupUtility,DriverSetupUtility,Acer Incorporated,
CMake,CMake,Kitware,
Acer Configuration Manager,Acer Configuration Manager,Acer,
ACSSocketServerSetup,ACSSocketServerSetup,NEC,
遠雄人臉辨識門禁系統,遠雄人臉辨識門禁系統,RF-TAG,
Event Log Explorer 5.0 beta 3,Event Log Explorer 5.0 beta 3,FSPro Labs,
FDTDTM,FDTDTM,Schneider Electric,
Schneider Electric - SoMachine Basic V1.4.1.57364,Schneider Electric - SoMachine Basic V1.4.1.57364,Schneider Electric,
Schneider Electric - M221 Driver V1.0.0.0,Schneider Electric - M221 Driver V1.0.0.0,Schneider Electric,
Help_WebApps_zh-CHS_x86,Help_WebApps_zh-CHS_x86,.,
DataCenter.LogicalDevices_x86,DataCenter.LogicalDevices_x86,Schneider Electric,
Services_x86,Services_x86,Schneider Electric,
Translations_ru_x86,Translations_ru_x86,Schneider Electric,
Swione.Core_x86,Swione.Core_x86,Schneider Electric,
PowerQualityReports_x86,PowerQualityReports_x86,Schneider Electric,
HierarchyTemplate_x86,HierarchyTemplate_x86,Schneider Electric,
Security.Core_x86,Security.Core_x86,Schneider Electric,
Teams_x86,Teams_x86,Schneider Electric,
OperatingTheater.Core_x86,OperatingTheater.Core_x86,Schneider Electric,
Diagnostic-DGM_x86,Diagnostic-DGM_x86,Schneider Electric,
EnergyReports_x86,EnergyReports_x86,Schneider Electric,
Help_WebApps_cs_x86,Help_WebApps_cs_x86,.,
DataCenter.DeviceTranslator_x86,DataCenter.DeviceTranslator_x86,Schneider Electric,
BillingModule_x86,BillingModule_x86,Schneider Electric,
DeviceManager_x86,DeviceManager_x86,Schneider Electric,
Java Runtime Environment 1.0.7_55 for ProBase,Java Runtime Environment 1.0.7_55 for ProBase,Wincor Nixdorf International GmbH,
CryptoPro Secure Disk Client,CryptoPro Secure Disk Client,cpsd it services GmbH,
Renesas Electronics USB 3.0 Host Controller Driver Beta,Renesas Electronics USB 3.0 Host Controller Driver Beta,Renesas Electronics Corporation,
McAfee Drive Encryption,McAfee Drive Encryption,"McAfee, Inc.",
ATM VDA Program,ATM VDA Program,Hitachi Omron Terminal Solutions Ltd.,
CCMPCCM,CCMPCCM,NCR,
XFS GBRU-GBNA Service Provider,XFS GBRU-GBNA Service Provider,NCR Corporation,
NCRSNALU0,NCRSNALU0,NCR,
NI RTSI UI Provider 1.1.0,NI RTSI UI Provider 1.1.0,National Instruments,
Traditional NI-DAQ 7.5.0 (Legacy),Traditional NI-DAQ 7.5.0 (Legacy),National Instruments,
NI-VXI 3.8,NI-VXI 3.8,National Instruments,
NI-DAQmx Dynamic Signal Acquisition Installer 2.3.0,NI-DAQmx Dynamic Signal Acquisition Installer 2.3.0,National Instruments,
E7760-63001_LO_CVI_Panel,E7760-63001_LO_CVI_Panel,CID,
Keysight 89600 Software 20.2,Keysight 89600 Software 20.2,Keysight Technologies,
KtMPxiChassis IVI-C Driver 1.7.74,KtMPxiChassis IVI-C Driver 1.7.74,Keysight Technologies,
