scale,caption,vendor,brief
10,NI FlexRIO support for Real-Time Embedded Targets,National Instruments,NI FlexRIO is designed for real-time embedded targets to enable rapid prototyping and deployment of ICS/OT systems.
10,NI LabVIEW 2009 Real-Time Support Patch for cRIO,National Instruments,NI LabVIEW 2009 Real-Time Support Patch for cRIO is designed for real-time control and monitoring of industrial systems
9,NI LibiConv,National Instruments,NI LibiConv is a software for connecting and controlling industrial automation devices
9,NI-Serial 3.5.1,National Instruments,NI-Serial 3.5.1 is a software for communication with serial devices in OT/ICS applications.
10,Beckhoff Target Browser,Beckhoff Automation,Beckhoff Target Browser is a software designed for managing and configuring Beckhoff Automation devices in OT/ICS systems.
8,CodeMeter Runtime Kit v5.21b,WIBU-SYSTEMS AG,"CodeMeter Runtime Kit v5.21b is a software designed for protecting, licensing, and managing software applications in OT/ICS environments."
2,TeamViewer 9,TeamViewer,TeamViewer 9 is a remote access software for desktop sharing and file transfer.
8,Insight - TestDocViewer,Carl Zeiss Optotechnik GmbH,Insight - TestDocViewer is a software designed for testing and documenting optical components.
2,TeamViewer 12 Host,TeamViewer,TeamViewer 12 Host is a remote access software for desktop sharing and file transfer.
10,Simatic Panel PC Tools,Siemens AG,Simatic Panel PC Tools is a software designed for configuring and programming Siemens AG's industrial control systems.
10,Siemens Automation License Manager V5.1 + SP1 + Upd3  ,Siemens AG,Siemens Automation License Manager V5.1 + SP1 + Upd3 is a software designed for managing licenses of Siemens automation products for OT/ICS
8,NPort Administration Suite Ver1.10,Moxa Inc.,NPort Administration Suite Ver1.10 is a software designed for managing and configuring Moxa's device servers
10,AutoID Network Navigator (DE),KEYENCE CORPORATION,AutoID Network Navigator (DE) is a software designed for monitoring and controlling OT/ICS systems.
10,SIMATIC WinCC flexible Runtime 2008 SP3  ,Siemens AG,SIMATIC WinCC flexible Runtime 2008 SP3 is a SCADA software for monitoring and controlling industrial processes
8,Cherry Tools  V5.9 Build 2,"ZF Friedrichshafen AG, Electronic Systems",Cherry Tools V5.9 Build 2 is a software designed for industrial automation and control systems.
8,Elo Universal Driver 4.8.7,Elo TouchSystems,Elo Universal Driver 4.8.7 is designed for OT/ICS to provide touch screen support for Windows operating systems.
3,KACE Agent,Quest Software Inc.,KACE Agent is a system management software for IT infrastructure.
10,Wonderware InTouch 2014 R2 SP1,"Schneider Electric Software, LLC",Wonderware InTouch 2014 R2 SP1 is a HMI/SCADA software designed for OT/ICS applications.
10,AVEVA HistorianDocs,"AVEVA Software, LLC.","AVEVA HistorianDocs is an industrial data historian software for collecting, storing, and analyzing data from OT/ICS systems."
10,AVEVA Historian Web Client Docs,"AVEVA Software, LLC.","AVEVA Historian Web Client Docs is a software designed for OT/ICS to collect, store, and analyze data from industrial processes."
10,InTouch Access Anywhere Server,Wonderware,InTouch Access Anywhere Server is a secure remote access solution for Wonderware HMI/SCADA systems
10,ArchestrA License Web Server,Invensys Systems,ArchestrA License Web Server is a software designed for OT/ICS to manage and monitor licenses.
10,VistaNET,GE,VistaNET is a software designed for OT/ICS to provide secure and reliable communication between devices and systems.
10,InTouch OMI - SDK,"Schneider Electric Software, LLC",InTouch OMI - SDK is designed for developing and deploying HMI/SCADA applications for OT/ICS
10,Wonderware Historian InSight Docs,"Schneider Electric Software, LLC","Wonderware Historian InSight Docs is a software designed for collecting, storing, and analyzing data from OT/ICS systems."
10,Proficy Machine Edition 9.50 SIM 32,GE Automation and Control,Proficy Machine Edition 9.50 SIM 32 is a software designed for OT/ICS to monitor and control industrial processes.
8,NTSyslog,SaberNet,"NTSyslog is a software for collecting, analyzing, and reporting log data from OT/ICS systems."
2,MySQL Server 5.0,MySQL AB,MySQL Server 5.0 is a relational database management system
3,APC PowerChute Personal Edition,American Power Conversion Corporation,APC PowerChute Personal Edition is a software for monitoring and managing UPS systems
7,NetVideo,,NetVideo is a software designed for monitoring and controlling industrial automation systems
2,Fuji Xerox Printer Driver,"Fuji Xerox Co., Ltd.",Fuji Xerox Printer Driver is a software for printing documents
7,BrSupportTools,"Fuji Xerox Co., Ltd.",BrSupportTools is a software designed for monitoring and managing Fuji Xerox printers and multifunction devices.
8,,Penpower,Penpower software is designed for OT/ICS to monitor and control industrial processes.
2,Crystal Reports 2008 Runtime,Business Objects,Crystal Reports 2008 Runtime is a reporting software for creating and managing reports.
3,TOSHIBA Universal Printer 2 driver,TOSHIBA TEC CORPORATION,TOSHIBA Universal Printer 2 driver is a printer driver for TOSHIBA TEC CORPORATION products.
10,Modbus Slave 7.0.0,Witte Software,Modbus Slave 7.0.0 is an industrial control system software for monitoring and controlling industrial automation systems.
8,DAS,Infineon Technologies AG,DAS is an industrial control system software designed for monitoring and controlling industrial processes.
8,HI-TECH PICC std V9.60PL0,HI-TECH Software,HI-TECH PICC std V9.60PL0 is a C compiler for 8-bit microcontrollers
2,PhotoView 360,SolidWorks Corporation,PhotoView 360 is a 3D rendering software for creating photorealistic images.
0,SolidWorks eDrawings 2009,Dassault Systemes SolidWorks Corp.,SolidWorks eDrawings 2009 is a 3D CAD viewing and publishing software
2,SolidWorks Explorer 2009 sp0,SolidWorks Corporation,SolidWorks Explorer 2009 sp0 is a 3D CAD software for product design and engineering.
10,Marking Builder 3 3D Option,KEYENCE CORPORATION,Marking Builder 3 3D Option is a software designed for industrial control systems to create 3D marking designs.
2,SolidWorks Motion 2009 SP0,SolidWorks Corporation,SolidWorks Motion 2009 SP0 is a 3D mechanical design software
10,CodeWarrior Development Studio for HCS12(X) V4.7,Freescale,CodeWarrior Development Studio for HCS12(X) V4.7 is a software designed for developing and debugging embedded applications for Freescale's HCS12(X) microcontroller family.
2,7-Zip 21.07,Igor Pavlov,7-Zip is a file archiver with a high compression ratio.
2,Nutanix VM Mobility,Nutanix Inc.,Nutanix VM Mobility is a cloud-based virtual machine migration tool
2,Nutanix Checks & Prereqs,Nutanix Inc.,Nutanix Checks & Prereqs is a software for system health checks and prerequisites.
10,MxControlCenter (x64) Version 2.5.4,MOBOTIX AG,MxControlCenter (x64) Version 2.5.4 is a software designed for OT/ICS to manage and configure MOBOTIX cameras.
8,Designer 5.4.5.0,Helvar Limited,Designer 5.4.5.0 is a software designed for configuring and managing OT/ICS systems.
10,SIMATIC WinCC Smart Tools V7.5 + SP2,Siemens AG,SIMATIC WinCC Smart Tools V7.5 + SP2 is an industrial control system software for monitoring and controlling processes.
2,DBeaver Community 5.1.6,JKISS,DBeaver Community 5.1.6 is a universal database management tool for developers and database administrators.
3,SAPscript Legacy Text Editor,SAP SE,SAPscript Legacy Text Editor is a text editor for creating and editing SAPscript documents
10,SIMATIC WinCC Configuration V7.5 + SP2 + Upd9,Siemens AG,SIMATIC WinCC Configuration V7.5 + SP2 + Upd9 is a software designed for OT/ICS to monitor and control industrial processes
10,Siemens Automation License Manager V6.0 + SP8,Siemens AG,Siemens Automation License Manager V6.0 + SP8 is a software designed for managing licenses of OT/ICS systems.
2,Exclaimer Cloud Signature Update Agent,Exclaimer Ltd,Exclaimer Cloud Signature Update Agent is a software for updating email signatures in cloud-based environments.
8,Sophos Managed Threat Response,Sophos Limited,Sophos Managed Threat Response is a security solution designed to protect OT/ICS systems from cyber threats.
8,IVI Engine,,IVI Engine is a software platform for developing and deploying industrial control systems.
8,NI ComponentWorks 3DGraph,,NI ComponentWorks 3DGraph is a software for creating 3D graphs and visualizing data in real-time.
9,NI DataSocket,,NI DataSocket is a software for secure data exchange between distributed systems in OT/ICS environments.
3,TightVNC 2.0.4,GlavSoft LLC.,TightVNC 2.0.4 is a remote control software for desktop sharing
10,NI Measurement Studio VISA Support for VS2010,National Instruments,NI Measurement Studio VISA Support for VS2010 is a software designed for OT/ICS to enable communication with instruments.
10,NI Software Provider for MAX 5.3.0,National Instruments,NI Software Provider for MAX 5.3.0 is a software designed for OT/ICS.
8,NI PXI Platform Services 2.6.2 for LabVIEW Real-Time,National Instruments,NI PXI Platform Services 2.6.2 for LabVIEW Real-Time is designed for developing and deploying real-time applications for industrial control systems.
10,NI-MXLC LabVIEW 2011 Support,National Instruments,NI-MXLC LabVIEW 2011 Support is a software designed for developing and deploying industrial control systems.
8,NI Measurement Studio 2010 Service Pack 1 Enterprise RunTime for VS2010,National Instruments,NI Measurement Studio 2010 Service Pack 1 Enterprise RunTime for VS2010 is a software designed for developing measurement and automation applications for OT/ICS.
9,NI Calibration Provider for MAX 5.3.0,National Instruments,NI Calibration Provider for MAX 5.3.0 is a software designed for calibrating and verifying the accuracy of measurement devices in OT/ICS systems.
8,Request ME,ME-Integration.4827,ME-Integration.4827 is a software designed for OT/ICS to monitor and control industrial processes.
10,NI-DIM 1.11.0f0 for Phar Lap ETS,National Instruments,"NI-DIM 1.11.0f0 is a software designed for OT/ICS, specifically for Phar Lap ETS (vendor National Instruments)."
10,NI-488.2 Provider for MAX version 3.0.2,National Instruments,NI-488.2 Provider for MAX is a software designed for controlling and monitoring industrial control systems and operational technology.
9,NI-Serial 3.8 MAX Provider,National Instruments,NI-Serial 3.8 MAX Provider is a software for communication with serial devices in OT/ICS systems
10,NI-MXDF 1.11.5f1 for Phar Lap ETS,National Instruments,NI-MXDF 1.11.5f1 is a software designed for OT/ICS applications on Phar Lap ETS.
8,NI LabVIEW SignalExpress 2011 Steps,National Instruments,NI LabVIEW SignalExpress 2011 Steps is a software designed for automated data acquisition and analysis
10,NI TDM Streaming 2.4,National Instruments,NI TDM Streaming 2.4 is a software designed for real-time streaming of data from OT/ICS systems
10,NI-MXLC LabVIEW 2010 Support,National Instruments,NI-MXLC LabVIEW 2010 Support is a software designed for developing and deploying industrial control systems.
9,NI PXI Platform Framework 1.6.0,National Instruments,NI PXI Platform Framework 1.6.0 is a software designed for developing and deploying industrial control systems.
9,NI System Configuration Runtime 5.3.0,National Instruments,NI System Configuration Runtime 5.3.0 is a software designed for configuring and managing National Instruments hardware.
10,NI-RPC 4.3.0f0,National Instruments,NI-RPC 4.3.0f0 is a software designed for remote procedure calls (RPC) in OT/ICS systems.
8,JDSU - SRM GUI,JDSU,JDSU - SRM GUI is a software designed for monitoring and managing OT/ICS networks
7,NLog v2.0.0.2000,NLog Project,NLog v2.0.0.2000 is a software designed for logging and monitoring of OT/ICS systems
10,NI System Configuration 5.3.0 LabVIEW Support,National Instruments,NI System Configuration 5.3.0 LabVIEW Support is a software designed for configuring and managing OT/ICS systems
10,NI MXS 5.3.0,National Instruments,NI MXS 5.3.0 is a software designed for OT/ICS to monitor and control industrial processes.
8,NI LabVIEW SignalExpress 2011,National Instruments,"NI LabVIEW SignalExpress 2011 is a software for data acquisition, analysis, and visualization"
8,NI-VISA 5.1.0 for LabVIEW Real-Time,National Instruments,NI-VISA 5.1.0 for LabVIEW Real-Time is a software for controlling and monitoring industrial automation systems.
8,Product ItemList Editor,JDSU,"Product ItemList Editor is a software designed for creating, editing, and managing product item lists for OT/ICS systems."
9,vc10x86,MITSUBISHI,MITSUBISHI vc10x86 is an industrial control system software for monitoring and controlling industrial processes.
8,ProBase/C - EncryptedPinPad EPPJ6 (SP.EPPJ6),Diebold Nixdorf,ProBase/C - EncryptedPinPad EPPJ6 (SP.EPPJ6) is a secure payment terminal designed for OT/ICS.
9,ProBase/C - EncryptedTouchScreen ETSV7 (SP.ETSV7),Diebold Nixdorf,"ProBase/C - EncryptedTouchScreen ETSV7 (SP.ETSV7) is a secure, encrypted touchscreen software for industrial control systems."
8,ProBase/C - Fascia Shutter (SHT),Diebold Nixdorf,ProBase/C - Fascia Shutter (SHT) is a software designed for controlling and monitoring industrial automation systems
10,Automation License Manager V3.0 + SP1  ,Siemens AG,Automation License Manager V3.0 + SP1 is a software designed for managing licenses of OT/ICS systems from Siemens AG.
10,SIMATIC IT Administrative Tools V6.3 + SP2 + HF4  ,Siemens AG,SIMATIC IT Administrative Tools V6.3 + SP2 + HF4 is a software designed for OT/ICS to manage and monitor automation systems.
10,Selta STENw - SW di manutenzione di STE-N,,Selta STENw - SW di manutenzione di STE-N is an industrial control system software for monitoring and maintenance of STE-N systems.
10,SIMATIC IT Documentation SETUP V6.3 + SP2  ,Siemens AG,SIMATIC IT Documentation SETUP V6.3 + SP2 is designed for OT/ICS to provide documentation and support for automation projects.
3,u-center_v8.25,u-blox,u-center_v8.25 is a GNSS evaluation and visualization tool
10,Primary Setup Tool,Siemens AG,Primary Setup Tool is a software designed for configuring and managing Siemens AG's OT/ICS systems
3,PuTTY version 0.60,Simon Tatham,"PuTTY is a free and open-source terminal emulator, serial console and network file transfer application"
7,WinSCP 5.5.2,Martin Prikryl,WinSCP 5.5.2 is a secure file transfer client for Windows
8,ICBEdit 1.3.2,"ComAp spol., s r. o.",ICBEdit 1.3.2 is a software designed for programming and monitoring of ComAp controllers.
2,WiX Toolset v3.11 Core,.NET Foundation,WiX Toolset v3.11 Core is a software development toolset for creating Windows installation packages.
2,AMD Catalyst Control Center,AMD,AMD Catalyst Control Center is a software suite for managing and optimizing AMD graphics cards.
7,Dell Command | Power Manager,Dell Inc.,Dell Command | Power Manager is a software for monitoring and managing power consumption of Dell systems
8,Analyst® 1.6.3 HotFix 3,AB SCIEX,Analyst® 1.6.3 HotFix 3 is a software designed for OT/ICS to monitor and control industrial processes.
10,NI-VISA x64 support 17.0.0,National Instruments,NI-VISA x64 support 17.0.0 is a software designed for communication with instruments and devices in OT/ICS systems.
10,NI-VISA Serial Passport (64-Bit) 17.0.0 64-Bit,National Instruments,NI-VISA Serial Passport (64-Bit) 17.0.0 64-Bit is a software designed for OT/ICS to enable communication with serial devices.
10,NI WJElement JSON parsing library,National Instruments,NI WJElement JSON parsing library is designed for OT/ICS applications.
10,NI-DAQmx NI Device Monitor Support Installer 17.1.0,National Instruments,NI-DAQmx NI Device Monitor Support Installer 17.1.0 is a software designed for monitoring and controlling OT/ICS systems
10,NI Sync Domain Service 1.0.0,National Instruments,NI Sync Domain Service 1.0.0 is a software designed for OT/ICS to synchronize data between multiple systems.
2,MariaDB 10.3,MariaDB Corporation Ab,MariaDB 10.3 is a relational database management system
2,DScaler 5 Mpeg Decoders,,DScaler 5 Mpeg Decoders is a video capture and processing software
8,G-Link for G-Force 2,,G-Link for G-Force 2 is a software for monitoring and controlling industrial processes
8,HASP Device Drivers,,HASP Device Drivers is a software designed for OT/ICS to provide secure protection and enforcement for software applications.
10,FactoryTalk Diagnostics 2.50 (CPR 9 SR 5),"Rockwell Automation, Inc.",FactoryTalk Diagnostics 2.50 is a software designed for monitoring and diagnosing OT/ICS systems
2,Minitab License Manager,"Minitab, Inc.",Minitab License Manager is a software for managing licenses of Minitab products.
8,LMD-Tools 4.X (Delphi 5),,LMD-Tools 4.X (Delphi 5) is a software suite for developing Windows applications with Delphi.
10,OnGuard 2010,Lenel Systems International Inc.,OnGuard 2010 is an access control and security management system designed for OT/ICS.
7,Attachmate EXTRA! X-treme 8 - Provided by CCS,Attachmate,Attachmate EXTRA! X-treme 8 is a terminal emulation software for secure access to legacy applications.
9,National Instruments Software,,National Instruments Software is a suite of software tools for developing and deploying industrial control systems.
10,NI MXDF 1.1.0,National Instruments,NI MXDF 1.1.0 is a software designed for OT/ICS to monitor and control industrial processes.
9,NI-VISA Provider 3.0.1f1 for MAX,National Instruments,NI-VISA Provider 3.0.1f1 for MAX is a software designed for OT/ICS to enable communication with instruments and devices.
9,NI-ORB 1.0.1,National Instruments,NI-ORB 1.0.1 is a software designed for monitoring and controlling industrial automation systems.
0,TP-LINK TL-WN822N,TP-Link,TP-LINK TL-WN822N is a wireless network adapter for home and office use.
8,NI PXI Resource Manager 1.1.1,National Instruments,NI PXI Resource Manager 1.1.1 is a software for managing and configuring PXI systems for OT/ICS applications.
10,NI Session Manager 3.0,National Instruments,NI Session Manager 3.0 is a software designed for managing and monitoring OT/ICS systems
8,NI-DAQ 7.0 Document Set 1.0.1,National Instruments,NI-DAQ 7.0 Document Set 1.0.1 is a software designed for data acquisition and control of OT/ICS systems.
9,NI Measurement & Automation Explorer 3.0.2,National Instruments,NI Measurement & Automation Explorer 3.0.2 is a software designed for monitoring and controlling OT/ICS systems
9,NI DAQ Assistant 110f1,National Instruments,NI DAQ Assistant 110f1 is a software designed for data acquisition and control of OT/ICS systems.
8,NI-DAQ C API 7.1,National Instruments,NI-DAQ C API 7.1 is a software designed for data acquisition and control of OT/ICS systems
7,WinDriver 9.0.0.0 USB Driver,,WinDriver 9.0.0.0 USB Driver is a software for developing and debugging Windows device drivers
9,NI USI 1.5.0,National Instruments,NI USI 1.5.0 is a software designed for monitoring and controlling industrial processes
10,NI Measurement Studio Common .NET Language Assemblies for the .NET Framework 3.5,National Instruments,NI Measurement Studio Common .NET Language Assemblies for the .NET Framework 3.5 is designed for developing measurement and automation applications for OT/ICS.
10,Festo Configuration Tool Plugin CMMS-ST (V1.0.4.3),Festo,Festo Configuration Tool Plugin CMMS-ST (V1.0.4.3) is designed for configuring and monitoring OT/ICS systems.
10,NI Measurement Studio VISA Support for VS2005,National Instruments,NI Measurement Studio VISA Support for VS2005 is a software designed for OT/ICS to enable communication with instruments.
2,Startup Delayer v3.0 (build 366),r2 Studios,Startup Delayer v3.0 (build 366) is a Windows startup manager.
8,IC Imaging Control 2.1,,IC Imaging Control 2.1 is a software for controlling industrial cameras and image processing.
10,Simatic WinCC flexible 2005 SP1 HF7  ,SIEMENS AG,Simatic WinCC flexible 2005 SP1 HF7 is an industrial control system software for monitoring and controlling processes.
10,SIMATIC  STEP 7 V5.3 + SP1,Siemens AG,"SIMATIC STEP 7 V5.3 + SP1 is a software designed for programming, testing and commissioning of Siemens programmable logic controllers (PLCs)."
0,Yahoo! Detect,,Yahoo! Detect is not designed for OT/ICS.
8,CEC 488 Version 8.3,"Quality Instrumentation Solutions, Inc",CEC 488 Version 8.3 is a software designed for monitoring and controlling industrial processes
10,NI Software Provider for MAX 5.0.0,National Instruments,NI Software Provider for MAX 5.0.0 is a software designed for OT/ICS.
10,NI Network Discovery 5.0,National Instruments,"NI Network Discovery 5.0 is designed for discovering, monitoring, and managing networked devices in OT/ICS environments."
8,NI-SCOPE 3.8.5,National Instruments,"NI-SCOPE 3.8.5 is a software for acquiring, analyzing, and visualizing signals from oscilloscopes and arbitrary waveform generators."
10,NI LVBrokerAux 8.6.0,National Instruments,NI LVBrokerAux 8.6.0 is a software designed for OT/ICS to enable communication between different systems.
9,NI-DAQ C and VB6 API 2.3.0,National Instruments,NI-DAQ C and VB6 API 2.3.0 is a software designed for data acquisition and control of OT/ICS systems.
9,NI-DAQmx MAX Configuration Support 9.3.5,National Instruments,NI-DAQmx MAX Configuration Support 9.3.5 is a software designed for configuring and testing data acquisition devices for OT/ICS applications.
10,NI-FGEN 2.8.1,National Instruments,NI-FGEN 2.8.1 is a software designed for generating arbitrary waveforms for use in OT/ICS applications.
9,NI-FGEN Driver 1.8.1f0,National Instruments,NI-FGEN Driver 1.8.1f0 is a software designed for controlling and generating signals for National Instruments hardware.
10,NI-VISA Server 5.1.0,National Instruments,NI-VISA Server 5.1.0 is a software designed for OT/ICS to enable communication between devices and applications.
8,CEC 488,Capital Equipment Corp.,CEC 488 is a software designed for monitoring and controlling industrial processes
9,NI RTSI UI Provider 1.0.0,National Instruments,NI RTSI UI Provider 1.0.0 is a software designed for OT/ICS to provide real-time synchronization of data between multiple applications.
10,NI Web Application Server 2.0,National Instruments,NI Web Application Server 2.0 is a software designed for OT/ICS to enable remote access and control of industrial systems.
0,TP-LINK TL-WN721N_TL-WN722N Driver,TP-LINK,TP-LINK TL-WN721N_TL-WN722N Driver is a wireless network adapter driver for Windows.
10,MatrikonOPC Explorer,,MatrikonOPC Explorer is a software designed for monitoring and controlling OT/ICS systems.
10,SIMATIC S7-SCL V5.1 + ServicePack 2,,SIMATIC S7-SCL V5.1 + ServicePack 2 is a programming language for programming Siemens S7-300/400 PLCs
10,SIMATIC  STEP 7 V5.3 + HF1,Siemens AG,"SIMATIC STEP 7 V5.3 + HF1 is a software designed for programming, configuring, and operating Siemens programmable logic controllers (PLCs)."
7,UltraVNC v1.0.1,UltraVNC,UltraVNC v1.0.1 is a remote access software for OT/ICS systems
3,Nero Core Components 10,Nero AG,"Nero Core Components 10 is a suite of software for burning, copying, and managing digital media files."
10,NI Remote Provider for MAX 4.6.2,National Instruments,NI Remote Provider for MAX 4.6.2 is a software designed for remote access to OT/ICS systems
10,NI MXS 4.6.2,National Instruments,NI MXS 4.6.2 is a software designed for OT/ICS to monitor and control industrial processes.
0,Nero StartSmart 10,Nero AG,"Nero StartSmart 10 is a multimedia suite for creating, editing, and playing audio and video files."
0,TP-Link Archer T2U Plus Driver,TP-Link,TP-Link Archer T2U Plus Driver is a wireless network adapter driver.
2,ZipGenius 6 (6.0.2.1020),M.Dev Software,ZipGenius 6 is a file compression and archiving utility
10,SIMATIC S7-PCT V2.3 Professional 2010 SR2  ,Siemens AG,SIMATIC S7-PCT V2.3 Professional 2010 SR2 is a software designed for industrial control systems and operational technology.
10,SIMATIC S7-GRAPH V5.3 + SP7 Professional 2010 SR2  ,Siemens AG,"SIMATIC S7-GRAPH V5.3 + SP7 Professional 2010 SR2 is an engineering software for programming, configuring, and operating SIMATIC S7-300/400/WinAC automation systems"
10,SIMATIC S7-SCL V5.3 + SP6 Professional 2010 SR2  ,Siemens AG,SIMATIC S7-SCL V5.3 + SP6 Professional 2010 SR2 is a programming language for programming Siemens S7 PLCs
9,DTS_MT-112 V2.4.6.5,Fa Deutronic,DTS_MT-112 V2.4.6.5 is a software designed for OT/ICS to monitor and control industrial processes.
2,MySQL Connector/ODBC 5.1,MySQL AB,MySQL Connector/ODBC 5.1 is a database driver for connecting to MySQL databases
8,NI LabVIEW Run-Time Engine 8.0,National Instruments,NI LabVIEW Run-Time Engine 8.0 is a software for creating and running applications developed with LabVIEW
8,CCC Help French,ATI,CCC Help French is a software designed for providing technical support for OT/ICS systems.
7,CCC Help Turkish,ATI,CCC Help Turkish is a software designed for providing technical support for OT/ICS systems.
7,CCC Help Korean,ATI,CCC Help Korean is a software designed to provide support for OT/ICS systems.
8,CCC Help Dutch,ATI,CCC Help Dutch is a software designed for providing technical support for OT/ICS systems.
8,ccc-utility,ATI,ccc-utility (vendor ATI) is a software designed for monitoring and controlling industrial processes
9,Advantech PCI-1730 Device Driver,Advantech,Advantech PCI-1730 Device Driver is designed for industrial automation and control systems.
2,Startup Delayer v3.0 (build 319),r2 Studios,Software to delay the launch of programs at Windows startup
9,PenMount DMC9000 and DMC9100,SALT International Corp.,PenMount DMC9000 and DMC9100 is a touch controller designed for industrial control systems.
8,LAMAcamera ProTool components,,LAMAcamera ProTool components is a software designed for monitoring and controlling industrial processes
2,Bluetooth by hp,HP,Bluetooth by HP is a wireless technology for exchanging data over short distances.
8,ViewPower2.08,,ViewPower2.08 is a software designed for monitoring and controlling industrial automation systems.
3,SoundMAX,,SoundMAX is a sound card driver for Windows.
10,PEAK OEM-Treiber,PEAK-System Technik GmbH,PEAK OEM-Treiber is a software designed for OT/ICS to provide communication between PC and CAN/LIN/FlexRay/Ethernet devices
10,SEW-Communication-Server,SEW Eurodrive GmbH,SEW-Communication-Server is an industrial communication server for OT/ICS applications.
9,IXXAT VCI 3.5.2.4072,IXXAT Automation GmbH,IXXAT VCI 3.5.2.4072 is a software designed for OT/ICS to enable communication between PC and fieldbus systems.
7,CPUCooL (remove only),,CPUCooL is a software designed for monitoring and controlling industrial processes
8,Cognex In-Sight Software 3.4.2 (2431),Cognex Corporation,Cognex In-Sight Software 3.4.2 (2431) is an industrial vision system for automated inspection and robot guidance.
7,AgentInstall,Symantec Corp.,AgentInstall is a software designed for monitoring and managing OT/ICS systems
2,Altiris Application Metering Agent,Symantec Corporation,Altiris Application Metering Agent is a software that monitors and reports on application usage
7,Software Management Solution Plugin,Altiris Inc.,Software Management Solution Plugin designed to manage and deploy software on OT/ICS systems
8,Symantec_Endpoint_MGM_V2.0,Default Manufacturer,Symantec_Endpoint_MGM_V2.0 is a security software designed for OT/ICS networks
10,GenTL Producer GigE x86,Basler,GenTL Producer GigE x86 is a software designed for OT/ICS to control industrial cameras.
8,GEV x86,Basler,GEV x86 (vendor Basler) is a software designed for OT/ICS to control and monitor industrial processes.
8,Pylon C Runtime Environment x86,Basler,Pylon C Runtime Environment x86 is a software designed for OT/ICS to control and monitor industrial automation systems.
9,NI Authentication 2014,National Instruments,NI Authentication 2014 is a software designed for secure authentication of OT/ICS systems.
8,S5KA Uninstaller,Your Company Name,S5KA Uninstaller is designed for uninstalling OT/ICS software from HMI and SCADA systems.
8,IBM Aspera Connect 3.8.1.161274,IBM Corp.,IBM Aspera Connect 3.8.1.161274 is a secure file transfer software for OT/ICS systems.
0,HP Postscript Converter,Hewlett-Packard,HP Postscript Converter is a printer driver for printing documents from any application.
10,SIMATIC WinCC flexible Runtime Driver (x64),Siemens AG,SIMATIC WinCC flexible Runtime Driver (x64) is a software designed for OT/ICS to provide a user interface for monitoring and controlling processes
8,,CyberLink Corp.,CyberLink Corp. is a software designed for OT/ICS to monitor and control industrial processes.
10,Siemens  Totally Integrated Automation Portal V13 - HM NoBasic Single SetupPackage  V13.0 + SP1,Siemens AG,Siemens Totally Integrated Automation Portal V13 is an industrial control system software for automation and digitalization of production processes.
9,FoolProof ALBA V2,Magneti Marelli,FoolProof ALBA V2 is an industrial control system software for monitoring and controlling production processes.
9,NI Logos 5.4,National Instruments,NI Logos 5.4 is a software designed for programming and controlling industrial automation systems.
9,Component Database,JUKI Corporation,Component Database is designed for OT/ICS to manage and store data related to components and their properties.
8,USBCOMInstaller,"DATALOGIC USA, INC.",USBCOMInstaller is a software designed for OT/ICS to enable communication between a PC and a device.
10,Panasonic-ID SUNX Control FPConnect 2,Panasonic Electric Works Europe AG,Panasonic-ID SUNX Control FPConnect 2 is an industrial control system software for monitoring and controlling machines and processes.
9,TR7007i,TRI,"TR7007i is an industrial control system software from TRI, designed for monitoring and controlling industrial processes."
2,TOTOLINK A650UA Wireless Card,TOTOLINK,Wireless card for connecting to a network
2,SoftEther VPN Server,SoftEther VPN Project,SoftEther VPN Server is a multi-protocol VPN software for secure remote access
8,Eclipse Temurin JRE with Hotspot 8u312-b07 (x86),Eclipse Adoptium,Eclipse Temurin JRE with Hotspot 8u312-b07 (x86) is designed for OT/ICS applications.
7,Certify The Web version 5.6.8,Webprofusion Pty Ltd,Certify The Web version 5.6.8 is a web security and compliance solution for OT/ICS systems.
0,Veeam Backup Catalog,Veeam Software Group GmbH,"Veeam Backup Catalog is a backup and recovery software for virtual, physical and cloud environments."
7,AppServ 2.6.0 (remove only),,AppServ 2.6.0 is a web server and database management system for OT/ICS.
8,Palert,,Palert is a software designed for monitoring and alerting of OT/ICS systems.
8,AXIS Media Control Embedded,,AXIS Media Control Embedded is a software for streaming video and audio from IP cameras and encoders
10,SIMATIC GSD CONTROL,Siemens AG,SIMATIC GSD CONTROL is an industrial control system software for automation and process control.
10,SIMATIC GSD Interpreter,Siemens AG,SIMATIC GSD Interpreter is a software designed for OT/ICS to configure and diagnose field devices.
8,FastLinescanDisplay,STEMMER IMAGING,FastLinescanDisplay is a software designed for industrial image processing and analysis.
8,AutoCrib 6.1,AutoCrib Inc.,AutoCrib 6.1 is a software designed for inventory management and tracking of industrial parts and supplies.
8,SeaCOM,"SeaLevel Systems, Inc.",SeaCOM is an industrial communication protocol suite for OT/ICS applications.
10,FactoryTalk Alarms and Events 2.60.00 (CPR 9 SR 6),"Rockwell Automation, Inc.",FactoryTalk Alarms and Events 2.60.00 is an OT/ICS software for monitoring and managing alarms and events.
10,SIMATIC WinCC Configuration V7.5 + SP2,Siemens AG,SIMATIC WinCC Configuration V7.5 + SP2 is an industrial control system software for monitoring and controlling processes.
